site,date,area_km2,area_smooth,growth_pct
Lavan,2026-02-03 07:52:14,2.2756329411764695,1.828601372549019,
Lavan,2026-02-09 07:53:19,1.3815698039215687,1.3815698039215687,-24.44663858062739
Lavan,2026-02-15 07:52:14,1.1598360784313726,1.3190270588235304,-4.526933414476164
Lavan,2026-02-21 07:53:19,1.3190270588235304,1.1598360784313726,-12.068818401204284
Lavan,2026-02-27 07:52:14,1.020958431372549,1.2677411764705884,9.303478314379788
Lavan,2026-03-05 07:53:19,1.2677411764705884,1.020958431372549,-19.46633505942328
Lavan,2026-03-11 07:52:14,0.09150235294117647,0.09150235294117647,-91.03760249884384
Lavan,2026-03-17 07:53:19,0.0036000000000000003,0.09150235294117647,0.0
Lavan,2026-03-23 07:52:14,0.6930000000000001,0.6930000000000001,657.3575735757358
Lavan,2026-03-29 07:53:19,1.7011992156862752,0.6930000000000001,0.0
Lavan,2026-04-04 07:52:14,0.0,1.3974980392156864,101.65916871799223
Lavan,2026-04-10 07:53:19,1.3974980392156864,1.162791764705883,-16.7947480371083
Lavan,2026-04-16 07:52:15,1.162791764705883,1.2801449019607847,10.092360542696577
Qeshm,2026-02-04 07:45:10,0.16306549019607844,0.9827960784313724,
Qeshm,2026-02-10 07:44:04,1.8025266666666664,1.594409803921569,62.2320071185454
Qeshm,2026-02-16 07:45:09,1.594409803921569,1.594409803921569,0.0
Qeshm,2026-02-22 07:44:04,1.3914247058823528,1.3914247058823528,-12.73104929108937
Qeshm,2026-02-28 07:45:09,0.8640329411764708,1.271175294117647,-8.642178858571526
Qeshm,2026-03-06 07:44:04,1.271175294117647,0.8640329411764708,-32.02881261343137
Qeshm,2026-03-12 07:45:09,0.3262,1.271175294117647,47.12116095791552
Qeshm,2026-03-18 07:44:04,1.9991552941176474,0.3262,-74.33870831902667
Qeshm,2026-03-24 07:45:09,0.05182941176470588,1.372767843137255,320.83624866255514
Qeshm,2026-03-30 07:44:04,1.372767843137255,1.1099341176470585,-19.14626182454343
Qeshm,2026-04-05 07:45:09,1.1099341176470585,1.372767843137255,23.680119505414954
Qeshm,2026-04-11 07:44:05,1.8801039215686273,1.1099341176470585,-19.14626182454343
Qeshm,2026-04-17 07:45:09,0.9106823529411764,1.3953931372549018,25.718555279027356
Shidvar,2026-02-03 07:52:14,1.3157411764705886,1.8735511764705888,
Shidvar,2026-02-09 07:53:19,2.4313611764705887,1.6978254901960783,-9.379284029248879
Shidvar,2026-02-15 07:52:14,1.6978254901960783,1.6978254901960783,0.0
Shidvar,2026-02-21 07:53:19,1.4867207843137258,1.4867207843137258,-12.433828276307269
Shidvar,2026-02-27 07:52:14,0.9513576470588232,1.215028235294118,-18.27461833359798
Shidvar,2026-03-05 07:53:19,1.215028235294118,1.215028235294118,0.0
Shidvar,2026-03-11 07:52:14,1.3590117647058821,1.215028235294118,0.0
Shidvar,2026-03-17 07:53:19,0.0,0.7796827450980395,-35.83007189052655
Shidvar,2026-03-23 07:52:14,0.7796827450980395,0.7796827450980395,0.0
Shidvar,2026-03-29 07:53:19,1.2222313725490197,1.2222313725490197,56.76008995111632
Shidvar,2026-04-04 07:52:14,1.728492156862747,1.6759705882352944,37.12383971456901
Shidvar,2026-04-10 07:53:19,1.6759705882352944,1.6759705882352944,0.0
Shidvar,2026-04-16 07:52:15,0.7419243137254902,1.2089474509803924,-27.86583132981182
